Date,Year,Month,Exchange_Rate
1997-11-01,1997,11,60.32909
1997-12-01,1997,12,61.0235
1998-01-01,1998,1,64.4501183333333
1998-02-01,1998,2,61.82567
1998-03-01,1998,3,61.8925
1998-04-01,1998,4,62.6102
1998-05-01,1998,5,61.1103
1998-06-01,1998,6,64.8976
1998-07-01,1998,7,65.6155
1998-08-01,1998,8,66.2642
1998-09-01,1998,9,66.0648
1998-10-01,1998,10,66.1519
1998-11-01,1998,11,67.4708
1998-12-01,1998,12,68.0185
1999-01-01,1999,1,70.63545
1999-02-01,1999,2,69.0135
1999-03-01,1999,3,69.4894
1999-04-01,1999,4,69.4819
1999-05-01,1999,5,70.339
1999-06-01,1999,6,71.0478
1999-07-01,1999,7,71.5107
1999-08-01,1999,8,71.5369
1999-09-01,1999,9,71.722
1999-10-01,1999,10,71.4374
1999-11-01,1999,11,71.736
1999-12-01,1999,12,71.8018
2000-01-01,2000,1,77.0051166666667
2000-02-01,2000,2,73.2778
2000-03-01,2000,3,73.54229999999998
2000-04-01,2000,4,73.65959999999998
2000-05-01,2000,5,74.4513
2000-06-01,2000,6,78.5447
2000-07-01,2000,7,78.6841
2000-08-01,2000,8,78.28159999999998
2000-09-01,2000,9,78.73009999999998
2000-10-01,2000,10,79.39619999999998
2000-11-01,2000,11,80.5548
2000-12-01,2000,12,82.15229999999998
2001-01-01,2001,1,89.3830133333333
2001-02-01,2001,2,86.97578
2001-03-01,2001,3,85.8109
2001-04-01,2001,4,87.88339999999998
2001-05-01,2001,5,90.68157
2001-06-01,2001,6,90.6816
2001-07-01,2001,7,90.264
2001-08-01,2001,8,89.92619999999998
2001-09-01,2001,9,90.17537
2001-10-01,2001,10,90.84963
2001-11-01,2001,11,92.55381000000001
2001-12-01,2001,12,93.1317
2002-01-01,2002,1,95.662065
2002-02-01,2002,2,93.53887
2002-03-01,2002,3,94.63846
2002-04-01,2002,4,95.92947
2002-05-01,2002,5,96.16359000000001
2002-06-01,2002,6,96.21743
2002-07-01,2002,7,96.15255
2002-08-01,2002,8,96.2596
2002-09-01,2002,9,96.16549
2002-10-01,2002,10,96.28888
2002-11-01,2002,11,96.50475
2002-12-01,2002,12,96.70245000000001
2003-01-01,2003,1,96.5209508333333
2003-02-01,2003,2,96.86147
2003-03-01,2003,3,96.93052
2003-04-01,2003,4,96.98083
2003-05-01,2003,5,97.2128
2003-06-01,2003,6,97.2303
2003-07-01,2003,7,97.1402
2003-08-01,2003,8,96.96794000000001
2003-09-01,2003,9,95.45605
2003-10-01,2003,10,94.5121
2003-11-01,2003,11,95.7769
2003-12-01,2003,12,96.4144
2004-01-01,2004,1,101.1944575
2004-02-01,2004,2,98.54586
2004-03-01,2004,3,97.4523
2004-04-01,2004,4,98.02625
2004-05-01,2004,5,98.8526
2004-06-01,2004,6,100.76352
2004-07-01,2004,7,102.84611
