Date,Year,Month,Exchange_Rate,YoY_Change,Rolling_Avg,Exchange_Rate_Winsorized,Exchange_Rate_Change
1985-05-01,1985,5,27.398,340.1285141269283,26.197798610833335,27.398,1.092170319533614
1985-06-01,1985,6,27.42,349.36086536371045,26.385631944166672,27.42,0.08029783195855345
1985-07-01,1985,7,27.320999999,344.3161490233073,26.561298610833333,27.320999999,-0.36105033187454616
1985-08-01,1985,8,27.364999999,336.3042092372933,26.735548610833334,27.364999999,0.16104827788736564
1985-09-01,1985,9,27.413999999,329.0140845585312,26.887465277416666,27.413999999,0.1790608441505359
1985-10-01,1985,10,27.401,323.770491868817,27.013381944083335,27.401,-0.047421022107230204
1985-11-01,1985,11,27.433,318.63268738266936,27.127798610750002,27.433,0.11678405897594946
1985-12-01,1985,12,27.406,309.41141326701694,27.228215277416666,27.406,-0.09842160901104569
1986-01-01,1986,1,28.01733333325,310.20985852638506,27.299444444104164,28.01733333325,2.2306550873896214
1986-02-01,1986,2,27.582,301.89421541627485,27.390611110770834,27.582,-1.5538000282609432
1986-03-01,1986,3,27.609,312.75227992416694,27.4556944441875,27.609,0.09788992821404552
1986-04-01,1986,4,27.773,326.09696232373386,27.511611110854165,27.773,0.5940091998985819
1986-05-01,1986,5,27.921,331.478905954486,27.555194444187503,27.921,0.5328916573650755
1986-06-01,1986,6,27.940999999,329.8615385122864,27.598611110770833,27.940999999,0.07163066867232892
1986-07-01,1986,7,28.05,329.4901240896479,27.659361110854167,28.05,0.39010773058911763
1986-08-01,1986,8,28.174,326.7494699222583,27.726777777604166,28.174,0.44206773618538087
1986-09-01,1986,9,28.281,321.85262536125487,27.7990277776875,28.281,0.3797827784482122
1986-10-01,1986,10,28.394,322.8443783206023,27.8817777776875,28.394,0.3995615430854693
1986-11-01,1986,11,28.458,325.1904975982653,27.967194444354163,28.458,0.22539973233781652
1986-12-01,1986,12,28.52,326.1168385516386,28.060027777687505,28.52,0.21786492374729072
1987-01-01,1987,1,29.44475,346.2678084944328,28.178979166583336,29.44475,3.2424614305750277
1987-02-01,1987,2,28.647,340.51976017845914,28.267729166583333,28.647,-2.7093115071447404
1987-03-01,1987,3,28.762,345.43905845523295,28.363812499916666,28.762,0.40143819597167063
1987-04-01,1987,4,28.883,345.45033936543035,28.456312499916667,28.883,0.420693971212005
1987-05-01,1987,5,28.978,334.1273408890078,28.544395833249997,28.978,0.3289132015372509
1987-06-01,1987,6,29.152,326.63544569393173,28.6453125,29.152,0.6004555179791593
1987-07-01,1987,7,29.377,320.1516018907539,28.75589583333333,29.377,0.7718166849615793
1987-08-01,1987,8,29.629,308.3379272889109,28.877145833333334,29.629,0.857813936072449
1987-09-01,1987,9,29.89,300.29462975763954,29.011229166666666,29.89,0.8808937189915156
1987-10-01,1987,10,30.329,302.4548832805805,29.172479166666665,30.329,1.468718634994981
1987-11-01,1987,11,30.502,301.44774946057487,29.342812500000004,30.502,0.5704111576378956
1987-12-01,1987,12,30.624,298.38688700382295,29.51814583333333,30.624,0.3999737722116592
1988-01-01,1988,1,31.80675,312.3784520176817,29.714979166666666,31.80675,3.8621669278996906
1988-02-01,1988,2,30.843,299.88331393749297,29.897979166666662,30.843,-3.030017213327363
1988-03-01,1988,3,30.877,292.18849236532304,30.074229166666665,30.877,0.11023570988555331
1988-04-01,1988,4,30.923,277.2938019005971,30.244229166666667,30.923,0.14897820384105476
1988-05-01,1988,5,30.975,264.3260409743973,30.410645833333334,30.975,0.1681596222876225
1988-06-01,1988,6,31.096,259.0347535341225,30.572645833333336,31.096,0.39063761097659633
1988-07-01,1988,7,31.781,266.1405530375738,30.77297916666667,31.781,2.202855672755333
1988-08-01,1988,8,32.467,274.0437788449359,31.009479166666665,32.467,2.158522387590067
1988-09-01,1988,9,32.967,278.66988283942106,31.26589583333333,32.967,1.5400252564142125
1988-10-01,1988,10,32.975,276.5989036519643,31.486395833333333,32.975,0.02426669093336109
1988-11-01,1988,11,32.973,278.13073398831773,31.692312499999996,32.973,-0.006065200909788349
1988-12-01,1988,12,32.998,277.378774059627,31.890145833333335,32.998,0.07581960998392923
1989-01-01,1989,1,36.0470833333333,311.027175978715,32.24350694444444,36.0470833333333,9.240206477160129
1989-02-01,1989,2,33.098,279.9563769946045,32.43142361111111,33.098,-8.181198201426287
1989-03-01,1989,3,33.409,317.7169292845357,32.642423611111106,33.409,0.9396338147320105
1989-04-01,1989,4,34.0,366.6483667947637,32.89884027777777,34.0,1.7689844053997428
1989-05-01,1989,5,34.132,368.46006045408444,33.161923611111106,34.132,0.3882352941176448
1989-06-01,1989,6,34.289,370.61487791251915,33.42800694444444,34.289,0.45997890542599507
1989-07-01,1989,7,34.743,376.8460061044258,33.67484027777777,34.743,1.3240397795211356
